"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB"
"Tuesday August 3","Frank-IMSVA-Child-01","600.43","1","HD#1: 500 GB","500"
"Tuesday August 3","WorldPosta Website 02","316.09","1","HD#1: 300 GB","300"
"Tuesday August 3","MyCloud-AppLaunchPad","23.85","1","HD#1: 100 GB","100"
"Tuesday August 3","Router-01","180.10","1","HD#1: 150 GB","150"
"Tuesday August 3","Frank-IMSVA-Child-03","579.38","1","HD#1: 500 GB","500"
"Tuesday August 3","ubuntu-dev","25.59","1","HD#1: 200 GB","200"
"Tuesday August 3","WorldPosta WebSite","57.23","1","HD#1: 300 GB","300"
"Tuesday August 3","Router-02","37.83","1","HD#1: 150 GB","150"
"Tuesday August 3","Frank-NSX-Controller-01-NSX-controller-1","28.09","1","HD#1: 28 GB","28"
"Tuesday August 3","Frank-IMSVA-Child-04","563.38","1","HD#1: 500 GB","500"
"Tuesday August 3","MinIO","130.59","1","HD#1: 1024 GB","1024"
"Tuesday August 3","Frank-PA-02","140.10","1","HD#1: 100 GB","100"
"Tuesday August 3","NextCloud 31-1-2021","516.09","1","HD#1: 500 GB","500"
"Tuesday August 3","dev-ubuntu-21","27.95","1","HD#1: 500 GB","500"
"Tuesday August 3","Gabr-Kali-Server","200.00","1","HD#1: 200 GB","200"
"Tuesday August 3","Frank-IMSVA-Child-02","603.85","1","HD#1: 500 GB","500"
"Tuesday August 3","centos-Backup-vcenter","35.74","1","HD#1: 500 GB","500"
"Tuesday August 3","DSITV-06.00.00.165","18.08","1","HD#1: 10 GB","10"
"Tuesday August 3","WP-Coturn-Videostreaming","16.12","1","HD#1: 160 GB","160"
"Tuesday August 3","MyCloud-AMQP","22.52","1","HD#1: 100 GB","100"
"Tuesday August 3","Frank-NSX-Controller-03-NSX-controller-3","28.09","1","HD#1: 28 GB","28"
"Tuesday August 3","Frank-NSX-Controller-02-NSX-controller-2","28.09","1","HD#1: 28 GB","28"
"Tuesday August 3","Frank-PA-01","87.82","1","HD#1: 150 GB","150"
"Tuesday August 3","DSMBuildVM-20","19.36","3","HD#1: 15 GB, HD#2: 15 GB, HD#3: 20 GB","50"
"Tuesday August 3","MyCloud-NFS","218.79","2","HD#1: 100 GB, HD#2: 500 GB","600"
"Tuesday August 3","Frank-IMSVA-Parent 1022021","516.09","1","HD#1: 500 GB","500"
"Tuesday August 3","Roaya WebSite","167.54","1","HD#1: 100 GB","100"
"Tuesday August 3","Dell-EMC-01","18.08","1","HD#1: 10 GB","10"
"Tuesday August 3","Frank-Tools","18.27","1","HD#1: 100 GB","100"
"Tuesday August 3","nextcloud-dev-new-production","529.77","1","HD#1: 500 GB","500"
"Tuesday August 3","frank-Migr.Roaya.loc","77.86","1","HD#1: 127.00 GB","127"
"Tuesday August 3","Frank-MBX02 - Clone 12-6-2020","372.86","1","HD#1: 570 GB","570"
"Tuesday August 3","Developers-VM8-jTLN","56.67","1","HD#1: 300 GB","300"
"Tuesday August 3","Solid-CP-DB-copy-13","487.95","1","HD#1: 600 GB","600"
"Tuesday August 3","Nextcloud-Ubuntu-Prodaction-FromSnap","16617.77","3","HD#1: 100 GB, HD#2: 500 GB, HD#3: 20000 GB","20600"
"Tuesday August 3","WP-Syslog","172.77","1","HD#1: 1024 GB","1024"
"Tuesday August 3","Developers-VM9-g6uv","568.89","1","HD#1: 500 GB","500"
"Tuesday August 3","Developers-VM6-Q6b7","574.18","1","HD#1: 500 GB","500"
"Tuesday August 3","Frank-tools01.Roaya.loc","90.90","1","HD#1: 500.00 GB","500"
"Tuesday August 3","vse-el bassiony (27dff168-a339-48b9-90af-c7f34c7d2f47)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07"
"Tuesday August 3","vse-LeadersCO (e518df4f-a749-4c07-8e0b-5abac75e25c3)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07"
"Tuesday August 3","vse-Delta-Pharma-ESG (0ed9c57a-8bba-4476-b544-4d48226b0897)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07"
